2,Countries,"Under-5 mortality rate (deaths per 1,000 live births) 1990","Under-5 mortality rate (deaths per 1,000 live births) 2000","Under-5 mortality rate (deaths per 1,000 live births) 2018",,"Under-5 mortality rate by sex (deaths per 1,000 live births) 2018 male","Under-5 mortality rate by sex (deaths per 1,000 live births) 2018 female","Infant mortality rate (deaths per 1,000 live births) 1990","Infant mortality rate (deaths per 1,000 live births) 2018","Neonatal mortality rate (deaths per 1,000 live births) 1990","Neonatal mortality rate (deaths per 1,000 live births) 2000","Neonatal mortality rate (deaths per 1,000 live births) 2018","Probability of dying among children aged 5â14 (deaths per 1,000 children aged 5) 1990","Probability of dying among children aged 5-14 (deaths per 1,000 children aged 5) 2018","Annual number of under-5 deaths (thousands)
2019","Annual number of neonatal deaths (thousands)
2019","Neonatal deaths as proportion of all under-5 deaths         (%)
2019","Number of deaths among children aged 5-14 (thousands)
2019",Developed/developing
119,Monaco,8,5,3,2.6,4,3,6,3,4,3,2,2,1,0,0,50,0,0
120,Mongolia,108,64,16,7.6,19,13,77,14,30,24,9,10,4,1,1,53,0,0
121,Montenegro,17,14,3,9.5,3,2,15,2,11,9,2,2,1,0,0,63,0,1
122,Montserrat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
123,Morocco,79,49,22,4.4,25,20,62,19,36,27,14,10,3,15,9,61,2,0
124,Mozambique,241,171,73,4.7,78,68,161,54,60,46,28,60,17,79,31,39,14,0
125,Myanmar,115,89,46,3.6,51,42,82,37,48,37,23,31,5,43,22,50,5,0
126,Namibia,74,77,40,3.7,43,36,50,29,28,23,16,16,12,3,1,40,1,0
127,Nauru,60,42,32,1.5,35,29,46,26,29,25,20,11,6,0,0,60,0,0
128,Nepal,140,81,32,5.1,34,30,97,27,58,40,20,29,6,18,11,62,3,0
129,Netherlands,8,6,4,2.6,4,3,7,3,5,4,2,2,1,1,0,55,0,1
130,New Zealand,11,7,6,1.4,6,5,9,5,4,3,3,3,1,0,0,61,0,1
131,Nicaragua,66,37,18,3.8,20,16,51,16,23,16,9,8,4,2,1,51,1,0
132,Niger,329,226,84,5.5,87,80,133,48,54,43,25,68,37,83,26,32,26,0
133,Nigeria,211,185,120,2.4,127,113,125,76,50,48,36,41,20,866,267,31,110,0
134,Niue,13,24,24,0,26,21,12,20,7,13,12,4,5,0,0,0,0,0
135,North Macedonia,36,16,10,2.6,11,9,33,9,17,9,7,3,1,0,0,74,0,0
136,Norway,9,5,3,3.6,3,2,7,2,4,3,1,2,1,0,0,59,0,1
137,Oman,39,16,11,2,12,10,32,10,17,7,5,6,2,1,0,45,0,0
138,Pakistan,139,112,69,2.7,74,65,106,57,65,60,42,14,10,409,251,62,46,0
139,Palau,35,29,18,2.6,20,16,30,17,19,15,9,7,4,0,0,50,0,0
140,Panama,31,26,15,2.9,17,14,26,13,17,15,8,8,3,1,1,56,0,0
141,Papua New Guinea,87,72,48,2.3,52,44,64,38,31,29,22,15,9,11,5,47,2,0
142,Paraguay,45,34,20,2.9,22,18,36,17,22,18,11,7,3,3,2,53,0,0
143,Peru,81,39,14,5.5,16,13,57,11,28,16,7,11,3,8,4,52,2,0
144,Philippines,57,38,28,1.6,31,25,40,22,19,17,14,14,5,63,30,47,12,0
145,Poland,17,9,4,4.1,5,4,15,4,11,6,3,3,1,2,1,61,0,1
146,Portugal,15,7,4,3.6,4,3,12,3,7,3,2,4,1,0,0,54,0,1
147,Qatar,21,12,7,3.3,7,6,18,6,11,7,4,4,1,0,0,53,0,0
148,Republic of Korea,15,7,3,4.7,3,3,13,3,7,3,1,5,1,1,1,46,0,0
149,Republic of Moldova,33,31,16,3.8,18,14,28,14,19,21,12,5,2,1,0,74,0,0
150,Romania,31,22,7,6.1,8,7,24,6,15,10,3,5,2,1,1,46,0,0
151,Russian Federation,22,19,7,5.5,8,6,18,6,11,10,3,5,2,13,6,44,4,0
152,Rwanda,154,183,35,9.1,38,32,94,27,40,41,16,72,10,13,6,46,3,0
